datetime,station,pm25,pm10,no2,o3,so2,co,temperature,humidity,aqi
2026-01-02 00:00:00,Centro,27.04,63.51,55.26,24.52,6.63,0.76,14.7,40.18,118.37
2026-01-02 01:00:00,Carapungo,45.96,86.04,30.23,26.72,5.26,0.49,23.39,66.07,117.02
2026-01-02 02:00:00,Carapungo,25.9,56.95,23.68,21.07,4.55,0.1,15.44,59.69,85.62
2026-01-02 03:00:00,Cotocollao,10.97,56.96,21.76,27.75,7.78,0.87,15.99,65.09,63.75
2026-01-02 04:00:00,Tumbaco,16.03,23.25,13.03,22.32,6.27,0.75,15.07,76.34,52.01
2026-01-02 05:00:00,Tumbaco,15.85,41.14,14.98,20.2,8.23,0.25,23.4,58.37,36.88
2026-01-02 06:00:00,Carapungo,1.0,54.85,28.65,29.81,2.21,0.48,19.66,42.52,31.44
2026-01-02 07:00:00,Tumbaco,25.88,71.74,16.51,29.49,4.93,1.37,15.19,89.53,87.82
2026-01-02 08:00:00,Tumbaco,24.18,75.37,30.15,33.48,1.77,1.33,21.32,53.03,99.35
2026-01-02 09:00:00,Centro,57.9,176.07,67.66,24.98,4.54,1.18,18.6,52.29,189.97
2026-01-02 10:00:00,Carapungo,47.83,69.8,23.06,30.86,4.5,0.56,18.77,78.24,108.75
2026-01-02 11:00:00,Los Chillos,31.01,49.89,37.15,31.86,6.25,0.62,16.97,60.39,100.56
2026-01-02 12:00:00,Carapungo,25.8,62.29,37.81,31.11,5.09,0.57,15.75,64.24,97.49
2026-01-02 13:00:00,Los Chillos,13.15,39.7,33.24,22.22,6.25,0.83,19.01,70.79,63.31
2026-01-02 14:00:00,Centro,59.62,70.11,27.63,29.05,6.41,0.42,16.36,78.0,141.49
2026-01-02 15:00:00,Cotocollao,24.72,44.63,35.02,30.55,9.31,0.44,23.45,61.0,72.99
2026-01-02 16:00:00,Tumbaco,17.69,38.02,13.01,28.05,4.37,0.8,14.19,83.24,56.46
2026-01-02 17:00:00,Centro,45.79,136.0,67.46,13.39,3.12,0.89,22.61,39.37,175.81
2026-01-02 18:00:00,Tumbaco,28.3,35.88,31.65,29.12,5.49,1.31,17.67,74.12,89.51
2026-01-02 19:00:00,Cotocollao,34.39,102.46,48.55,43.49,3.4,0.7,18.9,54.93,130.62
2026-01-02 20:00:00,Cotocollao,28.73,106.85,25.73,25.48,7.96,0.88,20.5,81.47,124.94
2026-01-02 21:00:00,Centro,24.68,60.52,24.98,22.9,4.43,0.42,16.11,66.7,68.57
2026-01-02 22:00:00,Cotocollao,23.91,14.49,32.76,30.61,3.87,0.6,20.59,56.93,77.04
2026-01-02 23:00:00,Los Chillos,17.65,35.88,17.41,30.19,4.06,0.3,9.88,72.95,71.01
2026-01-03 00:00:00,Cotocollao,17.93,70.9,31.58,36.35,6.44,0.5,15.84,75.72,79.37
2026-01-03 01:00:00,Tumbaco,18.28,35.73,11.25,19.19,4.68,0.31,15.23,72.7,59.03
2026-01-03 02:00:00,Tumbaco,15.97,24.01,25.43,33.12,3.72,0.74,14.24,52.64,52.35
2026-01-03 03:00:00,Tumbaco,27.23,29.94,12.11,32.13,8.33,0.74,17.36,59.19,64.35
2026-01-03 04:00:00,Tumbaco,1.0,46.09,23.53,27.0,3.29,0.25,19.16,64.95,43.51
2026-01-03 05:00:00,Los Chillos,30.73,53.2,30.01,30.37,5.07,0.87,20.11,64.5,100.56
2026-01-03 06:00:00,Carapungo,41.56,53.84,25.25,35.21,6.3,1.1,18.72,74.0,118.74
2026-01-03 07:00:00,Centro,11.37,82.95,62.28,34.11,1.74,0.91,16.0,40.82,110.71
2026-01-03 08:00:00,Tumbaco,23.11,46.95,32.5,20.0,5.96,0.71,19.11,69.01,78.41
2026-01-03 09:00:00,Cotocollao,31.4,51.42,34.14,33.74,2.89,1.75,18.37,61.52,114.4
2026-01-03 10:00:00,Tumbaco,8.59,55.38,13.55,27.55,6.65,0.34,20.81,54.94,46.38
2026-01-03 11:00:00,Cotocollao,17.36,44.18,10.23,28.51,3.07,0.6,20.33,56.09,65.07
2026-01-03 12:00:00,Cotocollao,14.43,69.58,30.58,28.51,6.39,0.64,18.09,62.43,76.77
2026-01-03 13:00:00,Tumbaco,28.81,54.26,9.99,26.95,7.21,0.87,15.31,21.79,82.58
2026-01-03 14:00:00,Los Chillos,29.49,59.97,25.76,36.34,6.72,0.67,16.04,56.58,95.58
2026-01-03 15:00:00,Cotocollao,35.39,42.38,25.18,27.41,5.5,0.5,16.35,54.49,77.5
2026-01-03 16:00:00,Cotocollao,30.55,56.16,33.48,20.16,4.54,0.41,17.05,71.39,81.84
2026-01-03 17:00:00,Tumbaco,15.56,53.56,27.1,25.25,3.85,0.8,18.8,55.33,70.3
2026-01-03 18:00:00,Cotocollao,29.38,51.88,36.9,29.25,7.94,0.6,20.15,62.42,80.02
2026-01-03 19:00:00,Cotocollao,42.76,82.28,50.91,36.6,3.6,0.91,17.85,83.51,142.32
2026-01-03 20:00:00,Tumbaco,14.67,32.78,33.22,32.22,2.93,0.73,18.05,76.93,72.81
2026-01-03 21:00:00,Tumbaco,22.16,50.25,22.02,22.05,6.33,0.3,18.43,75.83,72.37
2026-01-03 22:00:00,Centro,28.11,53.24,40.26,45.4,3.41,0.85,16.45,59.0,91.33
2026-01-03 23:00:00,Los Chillos,19.0,48.02,12.72,29.85,3.1,0.5,15.22,71.52,73.55
2026-01-04 00:00:00,Los Chillos,27.69,49.25,31.05,36.93,2.11,0.35,12.73,62.19,102.93
2026-01-04 01:00:00,Cotocollao,28.11,45.23,32.89,26.94,4.03,0.57,15.91,62.65,87.36
2026-01-04 02:00:00,Los Chillos,19.11,53.8,16.87,31.73,4.83,0.61,19.42,69.92,72.63
2026-01-04 03:00:00,Cotocollao,34.4,41.66,25.35,33.88,5.49,0.25,15.89,57.84,90.05
2026-01-04 04:00:00,Centro,18.69,81.3,34.56,36.53,6.9,0.67,17.29,82.92,94.06
2026-01-04 05:00:00,Tumbaco,21.54,19.85,19.14,35.4,6.05,0.39,19.4,63.08,59.61
2026-01-04 06:00:00,Tumbaco,21.4,37.52,22.14,34.11,4.62,0.94,19.56,72.42,72.15
2026-01-04 07:00:00,Tumbaco,23.43,88.9,43.74,25.79,4.6,1.06,14.76,82.47,112.31
2026-01-04 08:00:00,Los Chillos,36.91,44.99,50.48,24.0,6.02,0.78,20.99,77.38,128.72
2026-01-04 09:00:00,Centro,25.18,73.15,30.45,30.33,7.55,0.68,21.38,48.09,80.92
2026-01-04 10:00:00,Los Chillos,29.39,52.71,29.98,34.53,5.25,0.58,14.61,70.34,90.02
2026-01-04 11:00:00,Los Chillos,20.52,47.69,35.63,26.44,4.06,0.72,15.53,75.21,69.75
2026-01-04 12:00:00,Centro,24.95,70.36,39.33,35.46,3.01,0.59,21.57,75.7,109.51
2026-01-04 13:00:00,Centro,42.55,73.27,47.22,38.17,2.11,0.56,17.56,51.64,122.84
2026-01-04 14:00:00,Centro,22.91,76.33,57.54,21.59,6.33,0.61,11.34,57.12,92.06
2026-01-04 15:00:00,Centro,15.03,86.3,46.47,22.14,6.16,0.48,13.8,76.93,93.6
2026-01-04 16:00:00,Tumbaco,7.64,40.92,21.6,27.02,6.15,0.53,17.25,55.86,62.93
2026-01-04 17:00:00,Carapungo,52.35,80.69,65.05,30.15,4.74,0.27,14.51,61.4,155.61
2026-01-04 18:00:00,Carapungo,22.93,107.42,51.01,24.33,7.81,1.19,16.76,83.91,117.56
2026-01-04 19:00:00,Centro,75.68,154.35,52.9,37.47,4.03,0.99,18.1,64.43,200.0
2026-01-04 20:00:00,Carapungo,10.42,83.87,43.27,30.97,6.91,0.67,22.39,56.28,94.31
2026-01-04 21:00:00,Carapungo,46.24,39.5,48.76,28.28,4.92,0.98,17.13,54.47,115.73
2026-01-04 22:00:00,Centro,33.16,86.25,25.83,17.95,3.78,0.62,21.22,68.99,100.65
2026-01-04 23:00:00,Carapungo,27.59,56.15,48.44,18.79,6.19,0.39,22.29,49.0,91.57
2026-01-05 00:00:00,Los Chillos,17.64,12.41,29.0,29.97,5.82,0.77,22.3,62.03,50.76
2026-01-05 01:00:00,Cotocollao,27.71,63.48,15.19,13.07,5.71,0.68,18.85,69.0,76.21
2026-01-05 02:00:00,Cotocollao,23.87,40.67,30.74,35.09,5.16,0.68,12.11,80.59,89.16
2026-01-05 03:00:00,Centro,43.16,61.1,11.48,26.89,4.92,0.51,19.38,73.01,104.07
2026-01-05 04:00:00,Tumbaco,18.33,39.98,24.0,50.7,9.78,0.69,21.15,56.43,77.41
2026-01-05 05:00:00,Centro,32.48,67.0,44.91,44.16,7.37,0.55,17.76,79.14,112.47
2026-01-05 06:00:00,Tumbaco,15.27,44.51,16.21,26.73,6.45,0.71,23.23,61.41,63.25
2026-01-05 07:00:00,Cotocollao,35.55,63.47,42.88,27.26,5.22,0.33,20.58,50.17,100.75
2026-01-05 08:00:00,Centro,51.37,110.66,85.33,34.97,7.01,0.77,19.7,62.94,174.27
2026-01-05 09:00:00,Los Chillos,12.48,61.66,31.43,39.92,6.04,1.42,21.26,82.26,80.76
2026-01-05 10:00:00,Carapungo,14.58,72.91,21.49,16.53,5.05,0.45,19.0,66.98,68.75
2026-01-05 11:00:00,Tumbaco,22.36,43.38,29.48,15.5,4.39,0.48,10.52,65.15,74.44
2026-01-05 12:00:00,Carapungo,30.38,40.26,52.91,23.65,4.84,0.51,16.5,84.65,97.25
2026-01-05 13:00:00,Carapungo,26.69,79.68,32.54,32.08,0.1,0.36,21.59,47.82,92.63
2026-01-05 14:00:00,Centro,31.01,51.74,46.33,31.48,5.42,0.16,15.58,49.57,123.72
2026-01-05 15:00:00,Carapungo,32.21,74.26,46.45,35.49,4.02,0.55,17.33,45.61,119.52
2026-01-05 16:00:00,Los Chillos,17.68,50.51,19.06,19.6,8.19,0.63,14.87,69.47,67.09
2026-01-05 17:00:00,Carapungo,30.76,141.52,41.18,11.79,5.04,0.88,23.35,67.0,125.46
2026-01-05 18:00:00,Centro,49.49,87.46,73.18,34.01,2.62,0.86,23.04,83.51,155.55
2026-01-05 19:00:00,Los Chillos,21.26,59.64,57.72,22.2,4.9,0.91,15.35,67.92,97.08
2026-01-05 20:00:00,Cotocollao,41.69,73.77,48.68,13.87,2.91,1.21,18.44,60.15,128.86
2026-01-05 21:00:00,Carapungo,10.89,52.59,23.35,29.02,5.95,0.56,15.96,65.02,44.37
2026-01-05 22:00:00,Centro,42.33,79.8,57.26,33.55,5.58,0.49,19.84,66.41,121.25
2026-01-05 23:00:00,Cotocollao,28.36,22.83,22.83,27.15,6.92,0.54,19.53,44.94,67.43
2026-01-06 00:00:00,Cotocollao,26.45,32.11,24.55,24.8,3.42,0.72,20.44,97.52,76.59
2026-01-06 01:00:00,Tumbaco,23.89,23.19,22.19,26.88,5.07,0.88,19.0,71.24,66.74
2026-01-06 02:00:00,Los Chillos,35.32,59.25,37.43,25.41,2.27,0.47,26.81,67.52,114.62
2026-01-06 03:00:00,Carapungo,39.15,91.86,41.38,18.56,6.4,0.62,14.92,72.38,109.53
2026-01-06 04:00:00,Centro,10.18,60.81,39.65,23.0,6.04,0.67,12.87,73.51,64.41
2026-01-06 05:00:00,Tumbaco,9.41,33.97,22.97,31.65,5.99,0.4,16.82,63.31,62.13
2026-01-06 06:00:00,Los Chillos,17.0,46.05,25.35,30.25,5.0,0.6,13.3,57.43,68.57
2026-01-06 07:00:00,Tumbaco,26.65,74.91,35.36,29.18,5.83,0.46,13.52,72.19,102.8
2026-01-06 08:00:00,Los Chillos,39.21,46.63,7.15,21.03,8.21,0.37,15.0,69.63,100.13
2026-01-06 09:00:00,Los Chillos,24.29,72.86,33.94,26.73,4.43,1.01,15.23,55.28,89.09
2026-01-06 10:00:00,Carapungo,30.54,77.52,35.01,12.76,5.28,0.52,15.14,82.03,97.48
2026-01-06 11:00:00,Los Chillos,15.96,52.52,15.79,29.25,2.83,0.64,19.55,68.52,60.45
2026-01-06 12:00:00,Tumbaco,13.69,38.27,22.47,38.0,3.26,0.6,16.48,73.76,44.68
2026-01-06 13:00:00,Los Chillos,10.75,60.02,23.36,17.68,5.2,0.4,17.46,81.7,55.24
2026-01-06 14:00:00,Carapungo,19.0,5.79,50.76,23.9,7.21,0.59,20.68,65.26,76.83
2026-01-06 15:00:00,Carapungo,14.54,71.72,48.86,30.3,4.49,0.35,15.7,68.8,89.5
2026-01-06 16:00:00,Tumbaco,11.35,28.15,17.02,36.77,4.53,0.88,17.21,74.72,57.13
2026-01-06 17:00:00,Cotocollao,50.21,28.94,39.26,24.86,4.19,0.49,19.1,56.3,111.13
2026-01-06 18:00:00,Cotocollao,23.77,86.9,40.27,23.15,3.93,0.84,12.18,65.65,95.13
2026-01-06 19:00:00,Los Chillos,64.59,98.41,32.08,14.22,5.59,0.59,10.85,66.51,162.52
2026-01-06 20:00:00,Centro,54.49,90.17,55.78,28.72,2.01,1.07,19.04,53.53,153.08
2026-01-06 21:00:00,Los Chillos,23.48,59.29,18.93,42.29,7.56,0.53,19.48,92.81,82.18
2026-01-06 22:00:00,Tumbaco,12.11,55.35,12.76,29.94,3.67,0.5,24.19,48.11,56.74
2026-01-06 23:00:00,Tumbaco,22.08,51.78,23.99,27.84,6.44,0.77,18.47,49.42,88.25
2026-01-07 00:00:00,Tumbaco,13.92,55.68,24.03,30.25,2.46,0.61,20.46,80.77,73.57
2026-01-07 01:00:00,Tumbaco,18.38,44.91,14.85,27.92,6.34,0.7,17.41,73.56,52.61
2026-01-07 02:00:00,Tumbaco,33.98,36.91,25.73,22.31,6.34,0.4,18.89,52.69,75.24
2026-01-07 03:00:00,Carapungo,27.6,27.26,25.93,33.76,5.77,0.32,23.0,72.29,79.37
2026-01-07 04:00:00,Cotocollao,34.31,45.44,29.73,29.58,3.01,0.62,11.63,82.61,93.63
2026-01-07 05:00:00,Tumbaco,13.1,25.88,25.25,28.12,5.5,0.54,19.24,64.64,50.23
2026-01-07 06:00:00,Centro,30.41,108.59,34.62,21.17,2.63,0.73,24.41,96.19,120.57
2026-01-07 07:00:00,Centro,75.95,88.96,60.14,37.12,4.49,0.88,18.85,44.31,191.34
2026-01-07 08:00:00,Centro,35.67,98.38,43.82,32.65,7.06,0.96,22.95,73.33,126.94
2026-01-07 09:00:00,Centro,76.65,111.87,49.2,24.13,6.59,0.41,16.11,79.0,191.56
2026-01-07 10:00:00,Carapungo,35.96,59.35,30.36,35.01,5.03,0.98,17.9,75.7,102.91
2026-01-07 11:00:00,Centro,24.5,98.6,26.64,24.52,3.05,0.57,18.1,62.55,108.01
2026-01-07 12:00:00,Tumbaco,21.65,28.53,18.87,22.53,6.29,0.74,11.35,61.51,56.86
2026-01-07 13:00:00,Los Chillos,29.78,47.92,12.61,22.68,5.04,0.43,14.5,70.33,80.42
2026-01-07 14:00:00,Centro,37.76,47.41,29.5,15.6,0.36,0.66,14.71,74.79,107.83
2026-01-07 15:00:00,Carapungo,12.27,32.76,29.54,31.3,6.57,0.34,20.47,72.23,45.89
2026-01-07 16:00:00,Carapungo,21.04,46.57,29.84,15.18,4.95,0.69,20.62,77.48,70.23
2026-01-07 17:00:00,Centro,42.04,93.33,48.44,19.4,7.4,0.79,18.97,52.77,140.92
2026-01-07 18:00:00,Los Chillos,32.11,57.84,36.76,13.47,2.81,0.91,20.47,62.27,107.14
2026-01-07 19:00:00,Centro,56.63,72.69,60.55,27.4,0.1,1.11,17.51,53.72,155.4
2026-01-07 20:00:00,Carapungo,45.67,46.62,62.39,26.95,5.56,0.53,21.61,60.37,122.79
2026-01-07 21:00:00,Cotocollao,12.45,48.13,21.78,25.71,5.58,0.46,18.03,77.18,65.12
2026-01-07 22:00:00,Tumbaco,20.03,17.94,12.3,20.7,1.62,0.69,18.17,66.3,61.88
2026-01-07 23:00:00,Carapungo,34.95,73.32,21.66,19.79,3.04,1.02,17.2,96.28,91.38
2026-01-08 00:00:00,Centro,37.07,64.73,29.54,31.25,10.51,0.57,20.05,67.32,95.04
2026-01-08 01:00:00,Tumbaco,24.52,18.51,17.75,24.15,4.39,0.72,16.74,65.72,65.04
2026-01-08 02:00:00,Centro,40.14,56.51,26.38,30.21,6.46,0.58,20.93,66.27,109.02
2026-01-08 03:00:00,Centro,35.94,47.2,20.48,21.8,3.7,0.99,14.6,57.35,90.1
2026-01-08 04:00:00,Cotocollao,23.58,54.77,23.49,29.27,0.82,0.25,14.7,64.31,81.03
2026-01-08 05:00:00,Tumbaco,6.97,52.09,21.16,37.12,4.66,0.62,20.06,78.53,49.24
2026-01-08 06:00:00,Tumbaco,20.35,13.5,23.81,32.1,4.47,0.27,17.73,66.37,40.81
2026-01-08 07:00:00,Cotocollao,39.04,77.1,33.89,25.11,4.2,0.15,16.64,55.48,106.05
2026-01-08 08:00:00,Carapungo,47.14,83.07,42.31,29.8,4.77,0.99,20.67,53.9,136.32
2026-01-08 09:00:00,Centro,24.75,115.65,36.93,26.32,5.53,0.94,16.18,59.6,109.19
2026-01-08 10:00:00,Los Chillos,13.35,48.2,24.75,28.06,4.7,0.54,17.4,65.89,52.5
2026-01-08 11:00:00,Centro,42.6,47.21,25.5,25.72,2.47,0.58,22.2,79.32,87.99
2026-01-08 12:00:00,Centro,30.36,56.3,41.42,26.85,5.97,1.22,22.62,48.91,99.41
2026-01-08 13:00:00,Carapungo,35.69,42.98,13.93,29.48,1.1,0.55,22.72,61.16,92.3
2026-01-08 14:00:00,Centro,31.12,85.6,30.97,21.05,0.9,0.7,17.15,66.73,113.03
2026-01-08 15:00:00,Cotocollao,24.46,49.85,30.15,20.89,6.48,0.47,21.69,43.0,88.27
2026-01-08 16:00:00,Cotocollao,32.46,80.87,29.12,18.28,6.01,0.66,15.15,55.0,94.53
2026-01-08 17:00:00,Tumbaco,21.45,52.91,55.85,16.8,4.89,0.83,15.28,56.84,83.65
2026-01-08 18:00:00,Los Chillos,34.15,51.56,41.7,19.48,2.21,0.78,10.95,55.45,105.94
2026-01-08 19:00:00,Centro,38.43,46.82,35.63,29.12,3.58,1.45,23.02,67.3,115.5
2026-01-08 20:00:00,Centro,38.9,37.7,50.9,21.75,4.47,1.25,15.41,63.07,116.86
2026-01-08 21:00:00,Carapungo,25.38,27.61,14.03,31.6,1.81,0.63,17.62,58.34,50.42
2026-01-08 22:00:00,Cotocollao,26.15,53.91,26.79,28.24,3.52,0.14,15.27,70.14,72.8
2026-01-08 23:00:00,Los Chillos,18.17,52.63,18.34,14.22,6.3,0.53,20.09,85.68,62.4
2026-01-09 00:00:00,Tumbaco,25.64,17.03,25.86,32.58,7.85,1.14,16.87,84.67,78.53
2026-01-09 01:00:00,Cotocollao,16.33,64.27,22.66,33.68,4.16,0.55,14.09,41.93,77.94
2026-01-09 02:00:00,Tumbaco,16.4,30.2,19.25,21.04,6.51,0.82,19.32,71.92,58.07
2026-01-09 03:00:00,Carapungo,24.03,61.36,25.89,30.94,1.17,0.89,13.7,62.86,88.14
2026-01-09 04:00:00,Carapungo,43.65,89.94,50.58,22.0,6.32,0.64,15.49,66.86,134.27
2026-01-09 05:00:00,Centro,33.0,81.83,31.4,28.68,3.39,0.43,11.68,60.22,109.79
2026-01-09 06:00:00,Los Chillos,30.25,40.97,39.66,19.15,5.61,0.11,13.73,66.41,88.69
2026-01-09 07:00:00,Tumbaco,12.14,37.96,37.82,15.45,4.5,1.11,18.54,66.82,66.2
2026-01-09 08:00:00,Cotocollao,39.83,20.99,47.61,25.32,7.64,0.66,12.11,58.05,101.1
2026-01-09 09:00:00,Carapungo,56.78,66.71,54.5,27.13,3.25,0.95,13.56,54.24,150.6
2026-01-09 10:00:00,Centro,31.72,58.57,39.41,25.22,6.26,0.35,17.99,59.62,101.54
2026-01-09 11:00:00,Centro,42.73,42.27,13.41,19.71,4.44,0.55,16.37,67.81,94.11
2026-01-09 12:00:00,Tumbaco,14.29,34.42,18.22,25.2,4.68,0.61,23.98,72.19,57.18
2026-01-09 13:00:00,Carapungo,43.26,60.0,41.29,29.89,4.63,0.65,23.5,75.24,129.78
2026-01-09 14:00:00,Los Chillos,40.39,41.63,24.61,27.69,3.31,0.38,15.4,59.07,97.94
2026-01-09 15:00:00,Carapungo,24.83,45.82,17.89,29.28,4.97,0.84,19.67,68.41,70.37
2026-01-09 16:00:00,Tumbaco,14.75,38.02,19.66,23.31,4.87,0.48,20.25,76.55,62.5
2026-01-09 17:00:00,Tumbaco,40.35,61.95,46.36,36.2,5.48,0.4,16.21,78.99,107.3
2026-01-09 18:00:00,Carapungo,67.54,55.86,68.2,19.77,5.17,0.87,13.51,64.29,158.26
2026-01-09 19:00:00,Tumbaco,21.38,79.4,29.4,31.41,6.6,0.91,17.96,62.35,93.19
2026-01-09 20:00:00,Carapungo,36.35,84.87,63.59,36.27,6.85,0.95,17.48,67.29,139.53
2026-01-09 21:00:00,Cotocollao,21.72,49.81,24.27,31.37,2.9,0.87,16.69,51.2,67.27
2026-01-09 22:00:00,Carapungo,14.62,72.31,14.78,26.58,6.74,0.55,19.33,62.68,62.65
2026-01-09 23:00:00,Carapungo,19.05,63.05,22.89,24.3,2.63,0.58,15.75,73.94,68.3
2026-01-10 00:00:00,Tumbaco,11.17,47.44,30.0,35.25,6.18,0.38,14.54,72.7,58.2
2026-01-10 01:00:00,Tumbaco,12.69,39.45,18.25,18.04,6.24,0.76,18.33,61.76,60.69
2026-01-10 02:00:00,Centro,30.41,50.14,32.27,21.21,1.18,0.64,19.16,67.61,95.54
2026-01-10 03:00:00,Centro,33.42,70.59,31.64,25.22,5.19,0.52,14.47,55.1,100.76
2026-01-10 04:00:00,Cotocollao,37.84,30.63,44.26,36.66,4.06,0.22,20.78,73.44,96.81
2026-01-10 05:00:00,Centro,19.62,65.28,53.21,30.66,3.48,0.89,12.69,64.07,86.22
2026-01-10 06:00:00,Carapungo,38.84,57.85,55.58,21.22,7.7,0.35,16.27,61.69,127.47
2026-01-10 07:00:00,Tumbaco,24.35,50.25,28.47,25.83,3.69,0.72,17.23,60.66,85.73
2026-01-10 08:00:00,Centro,45.37,90.45,57.47,23.7,3.39,1.01,16.09,64.25,137.99
2026-01-10 09:00:00,Centro,57.54,35.22,27.02,23.03,5.15,0.54,16.3,59.63,124.93
2026-01-10 10:00:00,Cotocollao,14.32,40.45,40.5,34.85,6.37,0.3,23.61,72.9,69.06
2026-01-10 11:00:00,Cotocollao,27.57,51.03,17.22,18.4,4.72,0.18,15.45,60.26,70.49
2026-01-10 12:00:00,Carapungo,30.33,61.62,34.75,39.26,7.33,0.74,25.32,84.12,104.13
2026-01-10 13:00:00,Tumbaco,20.75,23.67,12.98,33.8,6.06,0.49,19.31,82.58,51.57
2026-01-10 14:00:00,Cotocollao,26.74,70.38,22.32,35.64,0.64,1.19,18.28,54.3,91.11
2026-01-10 15:00:00,Centro,58.3,44.81,25.62,24.76,3.94,0.4,19.43,65.84,123.05
2026-01-10 16:00:00,Tumbaco,13.52,47.63,16.11,26.95,3.88,0.42,25.59,57.19,51.33
2026-01-10 17:00:00,Tumbaco,21.3,61.69,24.82,17.97,5.96,0.73,15.02,61.08,82.0
2026-01-10 18:00:00,Centro,35.73,74.14,43.29,24.33,0.1,0.97,14.64,89.03,130.77
2026-01-10 19:00:00,Cotocollao,28.97,118.19,52.25,31.46,10.1,0.76,15.74,61.31,121.17
2026-01-10 20:00:00,Centro,35.49,56.9,33.94,37.07,6.06,1.08,18.1,69.32,94.58
2026-01-10 21:00:00,Tumbaco,25.21,47.03,21.41,20.25,5.3,0.4,12.82,71.5,56.88
2026-01-10 22:00:00,Los Chillos,33.36,60.01,34.74,25.44,7.36,0.32,18.07,52.99,96.3
2026-01-10 23:00:00,Los Chillos,17.43,34.94,20.89,26.94,9.69,0.24,23.08,54.74,52.53
2026-01-11 00:00:00,Carapungo,19.94,85.65,25.03,18.23,6.74,0.16,18.45,50.53,80.38
2026-01-11 01:00:00,Centro,36.08,57.75,32.42,32.14,6.9,0.5,17.12,54.37,103.24
2026-01-11 02:00:00,Centro,24.62,69.06,48.21,22.93,5.26,0.54,16.15,30.8,84.79
2026-01-11 03:00:00,Carapungo,35.18,63.58,34.52,26.63,4.72,0.47,20.7,71.53,88.15
2026-01-11 04:00:00,Carapungo,30.71,55.88,26.98,24.84,4.05,0.85,15.52,89.65,94.1
2026-01-11 05:00:00,Carapungo,12.84,74.31,37.53,22.47,3.35,0.85,23.54,66.77,79.97
2026-01-11 06:00:00,Tumbaco,27.5,45.52,12.95,27.95,3.63,0.53,23.8,48.0,70.05
2026-01-11 07:00:00,Centro,76.37,39.42,63.95,26.49,2.3,0.36,18.77,57.29,155.34
2026-01-11 08:00:00,Tumbaco,20.52,77.48,33.92,25.4,4.85,0.73,17.97,59.49,92.16
2026-01-11 09:00:00,Carapungo,36.85,39.12,43.95,22.9,1.63,0.72,21.09,52.79,113.32
2026-01-11 10:00:00,Centro,34.0,84.68,25.61,30.24,5.38,0.47,21.28,75.32,106.14
2026-01-11 11:00:00,Tumbaco,19.74,49.52,14.33,39.58,4.93,0.46,15.58,74.72,60.36
